Num,Accurate Mass,Neutral Loss,Formula,Charge,Pos,Neg,Ion source,substructue or compound class
1,"1,008",H,H,1,-,-,ESI/APCI,Aromatic amines
2,"2,016",H2,H2,1,+,-,ESI/APCI,Amines
3,"15,023",CH3,CH3,1,+,-,ESI/APCI,"Aromatic N-methylamines, methoxy derivative, tert. Butyl"
4,"15,995",O,O,1,-,-,ESI/APCI,Nitrotoluenes
5,"16,019",NH2,NH2,1,+,-,ESI/APCI,Aromatic amines
6,"16,031",CH4,CH4,1,-,-,ESI/APCI,Methoxy derivatives
7,"17,003",OH,OH,1,+,+,ESI,"Nitroaromatic compounds[1], N-oxides[2]"
8,"17,027",NH3,NH3,1,+,-,ESI/APCI,"Aliph. amines (arom. amines), oximes"
9,"18,011",H2O,H2O,1,+,-,ESI/APCI,"Carboxylic acids, aldehydes, ester"
10,"20,006",HF,HF,1,-,-,ESI/APCI,Fluorides
11,"26,003",CN,CN,1,-,-,ESI/APCI,Nitrile
12,"27,011",HCN,HCN,1,+,+,ESI/APCI,"Amines, aromatic nitrile, aminosulfonic acids"
13,"27,995",CO,CO,1,+,+,ESI/APCI,"aldehydes,ketones, nitroaromatic compounds"
14,"28,019",H2CN,H2CN,1,-,+,ESI/APCI,Aromatic amine
15,"28,031",C2H4,C2H4,1,-,-,ESI/APCI,Triazines
16,"29,003",HCO,HCO,1,-,-,ESI/APCI,"Nitroaromatics, anthraquinones"
17,"29,039",C2H5,C2H5,1,-,-,ESI/APCI,Ethyl derivatives
18,"29,998",NO,NO,1,+,+,ESI/APCI,Nitroaromatics
19,"30,011",formaldehyde,CH2O,1,+,+,ESI/APCI,Aldehydes*
20,"31,006",HNO,HNO,1,-,+,ESI/APCI,Nitroaromatics
21,"31,018",CH2OH,CH3O,1,+,-,ESI/APCI,Ethanolaminoanthraquinones
22,"31,042",CH3NH2,CH5N,1,+,-,ESI,Aromatic N-methyl groups
23,"31,972",S,S,1,-,-,ESI/APCI,Sulfur compounds
24,"32,026",CH3OH,CH4O,1,+,-,ESI/APCI,Methyl esters
25,"33,034",CH3+H2O,CH5O,1,-,+,APCI,Aromatic methoxy group
26,"33,988",H2S,H2S,1,+,-,ESI/APCI,Thiols*
27,"34,969",Cl,Cl,1,-,-,ESI/APCI,Chlorides
28,"35,977",HCl,HCl,1,+,-,ESI/APCI,Chlorides
29,"36,021",H2O+H2O,H4O2,1,-,-,ESI/APCI,Dihydroxy compounds
30,"42,011",CH2CO,C2H2O,1,+,-,ESI/APCI,N-acetyl derivatives
31,"42,022",CH2N2,CH2N2,1,-,+,ESI,Arginine
32,"42,047",C3H6,C3H6,1,+,-,ESI/APCI,Triazines
33,"43,006",HNCO,CHNO,1,+,-,ESI,Citrulline containing peptides
34,"43,055",C3H7,C3H7,1,+,-,ESI/APCI,Isopropyl derivatives
35,"43,990",CO2,CO2,1,+,+,ESI/APCI,"Carboxylic acids, carbamates"
36,"44,037",NH3+HCN,CH4N2,1,-,-,ESI/APCI,Aromatic diamines
37,"44,050",N(CH3)2,C2H6N,1,-,-,ESI/APCI,Aromatic dimethylamines
38,"44,998",COOH,CHO2,1,+,-,ESI,Carboxylic acids
39,"45,021",NH3+CO or HCN+H2O,CH3NO,1,+,-,ESI/APCI,Aminoanthraquinones
40,"45,058",C2H7N,C2H7N,1,+,-,ESI,Amitriptyline
41,"45,993",NO2,NO2,1,+,+,ESI/APCI,Nitroaromatics
42,"46,005",HCOOH(H2+CO2 or H2O+CO),CH2O2,1,+,+,ESI/APCI/NCI,Carboxylic acids
43,"47,001",NO+OH,HO2N,1,-,+,ESI/APCI,Nitroaromatics
44,"48,003",CH4S,CH4S,1,+,-,ESI,Methyl sufide*
45,"48,009",H2O+NO,H2NO2,1,+,-,ESI/APCI,Nitroaldehydes
